Borough,Area,Unemployment rate  - 16+ white UK born,null...4,null...5,null...6,Unemployment rate  - 16+ white not UK born,null...8,null...9,null...10,Unemployment rate  - 16+ ethnic minority UK born,null...12,null...13,null...14,Unemployment rate  - 16+ ethnic minority not UK born,null...16,null...17,null...18,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,null,number,denominator,percent,confidence,number,denominator,percent,confidence,number,denominator,percent,confidence,number,denominator,percent,confidence,,,,,,,,,,,
,Hounslow,2700,46900,5.7,5.7,700,28200,2.6,*,2100,15300,13.4,*,5700,52300,10.9,7.6,,,,,,,,,,,
,Hounslow,2300,42600,5.4,*,!,33300,!,!,3000,18200,16.8,*,4000,52700,7.7,*,,,,,,,,,,,
,Hounslow,2400,44400,5.3,*,!,26400,!,!,2200,18400,11.8,*,1500,53700,2.9,*,,,,,,,,,,,
,Hounslow,!,41700,!,!,!,27500,!,!,1500,18800,7.9,*,4200,55000,7.6,7.6,,,,,,,,,,,
,Hounslow,1400,40600,3.4,*,!,26000,!,!,1800,16800,10.5,*,7800,64500,12.2,8.8,,,,,,,,,,,
,Hounslow,!,47100,!,!,!,24900,!,!,2300,20500,11.2,*,3800,59400,6.4,*,,,,,,,,,,,
,Hounslow,2100,44900,4.6,*,!,24900,!,!,!,20900,!,!,!,49800,!,!,,,,,,,,,,,
,Hounslow,!,50500,!,!,!,22000,!,!,2900,17700,16.2,*,3600,58500,6.2,*,,,,,,,,,,,
,Hounslow,2500,41000,6,*,!,41000,!,!,!,12900,!,!,!,53900,!,!,,,,,,,,,,,
,Hounslow,!,48600,!,!,!,31100,!,!,!,17000,!,!,3200,47400,6.8,*,,,,,,,,,,,
,Islington,5200,68300,7.7,5.7,1700,24000,7.1,*,2400,13900,17.1,*,1900,16100,12,*,,,,,,,,,,,
,Islington,2900,69600,4.2,4.3,2200,28400,7.6,*,!,10300,!,!,2900,16000,18.4,15.8,,,,,,,,,,,
,Islington,1900,67600,2.8,*,800,27300,2.9,*,1700,14800,11.7,*,1500,21900,6.6,*,,,,,,,,,,,
,Islington,3900,65200,6,5.4,1300,28200,4.5,*,1500,16900,8.8,*,2600,22600,11.3,*,,,,,,,,,,,
,Islington,!,79700,!,!,1400,23100,6.2,*,1100,11600,9.7,*,2300,29100,7.8,*,,,,,,,,,,,
,Islington,1200,81500,1.4,*,2900,33500,8.6,*,1500,12400,11.9,*,1800,17800,10.2,*,,,,,,,,,,,
,Islington,2100,71400,2.9,*,!,32300,!,!,1400,13200,10.4,*,2700,30500,8.9,*,,,,,,,,,,,
,Islington,4300,71400,6,*,2600,42900,6,*,!,12700,!,!,!,16300,!,!,,,,,,,,,,,
,Islington,3700,72300,5.1,*,!,34600,!,!,!,10200,!,!,1900,29200,6.4,*,,,,,,,,,,,
,Islington,!,67800,!,!,!,43000,!,!,!,19400,!,!,4000,22400,18,*,,,,,,,,,,,
,Kensington and Chelsea,1300,28000,4.5,*,600,28300,2.2,*,1600,6800,23.1,*,2100,17500,12.1,10.5,,,,,,,,,,,
,Kensington and Chelsea,2200,28500,7.9,6.1,900,30900,3,*,600,4400,14.6,*,1900,21800,8.6,8.1,,,,,,,,,,,
,Kensington and Chelsea,700,27500,2.5,*,700,29400,2.4,*,800,6400,12.2,*,1200,18600,6.6,*,,,,,,,,,,,
,Kensington and Chelsea,900,25500,3.4,*,1800,32500,5.5,*,3500,8400,41.6,28.3,600,16900,3.8,*,,,,,,,,,,,
,Kensington and Chelsea,1500,26200,5.7,*,1600,27500,5.8,*,1400,10200,13.8,*,1900,17700,10.6,*,,,,,,,,,,,
,Kensington and Chelsea,900,25200,3.7,*,1100,24300,4.6,*,1300,7500,16.7,*,2500,16900,14.7,*,,,,,,,,,,,
